index,participant_code,utterance
270,08-1,and Then retired back to her room in the attic.
271,08-1,"And started again telling her, her friends, the mice."
272,08-1,and the birds how much she would have loved to go to the ball.
273,08-1,and meet the prince.
274,08-1,"Well, Surprisingly enough, a fairy godmother appears."
275,08-1,"And the fairy godmother says, Cinderella, would you?"
276,08-1,like to go to the ball?
277,08-1,"And she says, Oh yes, ma'am, yes please, I would love to go to the ball."
278,08-1,"so the fairy godmother says, I can help you with."
279,08-1,"that See, let's go out into the garden."
280,08-1,"And there was a big pumpkin,."
281,08-1,and she waved her wand.
282,08-1,and the pumpkin became a beautiful coach.
283,08-1,"And there was no one to pull the coach,."
284,08-1,"so the fairy godmother waved her wand again,."
285,08-1,"and the mice turned into horses, a beautiful team of horses, uh, hitched to the pumpkin coach."
286,08-1,Yeah The birds helped Cinderella.
287,08-1,by bringing ribbons.
288,08-1,"But she, she really didn't need much help."
289,08-1,"She had a fairy godmother, uh,."
290,08-1,"but no, nonetheless, uh, they all participated, uh."
291,08-1,"Uh, Cinderella was outfitted in a new royal gown and a beautiful pair of glass slippers."
292,08-1,And drawn.
293,08-1,"by Her horses, they pulled up to the palace."
294,08-1,and she got out.
295,08-1,and Walked up the stairs.
296,08-1,and went to the ball.
297,08-1,and just had a great time.
298,08-1,Her stepmother.
299,08-1,and her stepsisters didn't even recognize her.
300,08-1,She was dressed so nicely.
301,08-1,and looked so beautiful.
302,08-1,and her her hair done up.
303,08-1,and All cleaned.
304,08-1,"and scrubbed up, no ashes or cinders on her."
305,08-1,"Uh, The prince looked over?"
306,08-1,"and said, Whoa, who's this beautiful lady who has just come in?"
307,08-1,And he introduced himself to her.
308,08-1,"and asked her to dance,."
309,08-1,and they danced.
310,08-1,and danced.
311,08-1,and danced.
312,08-1,as the clock was approaching midnight.
313,08-1,and started to strike midnight.
314,08-1,"Cinderella remembered, oh my."
315,08-1,The fairy godmother told her.
316,08-1,"that this magic, this spell would only last until midnight,."
317,08-1,and I had to leave by midnight.
318,08-1,and go home.
319,08-1,So she left the prince.
320,08-1,and ran to the entrance.
321,08-1,and was running down the steps.
322,08-1,"and the prince said, wait, wait, stop."
323,08-1,I don't even know your name.
324,08-1,"Wait, I'd."
325,08-1,like to meet you.
326,08-1,I want to know you better.
327,08-1,"But she was running down the steps to her coach,."
328,08-1,on her way down she lost one of her glass slippers.
329,08-1,It came off.
330,08-1,That she was in such a hurry to be home.
331,08-1,before the clock struck 12.
332,08-1,She jumped into her coach.
333,08-1,and they Were whisked away by the horses.
334,08-1,The poor prince was left standing there.
335,08-1,He saw the glass slipper.
336,08-1,"and thought, oh my, maybe I can use this glass slipper to figure out who this lady was."
337,08-1,So the prince ordered a search of the kingdom.
338,08-1,"Find this lady, uh, all the young women."
339,08-1,"I, I need to meet, I need to see, I need to find out."
340,08-1,and this glass slipper will be the the key.
341,08-1,"Uh, so he."
342,08-1,"And his men were going house to house in the kingdom, everyone trying on the glass slipper who looked."
343,08-1,like they might.
344,08-1,Possibly be the princess.
345,08-1,And no one had a foot delicate enough to fit into that glass slipper.
346,08-1,"Uh, he finally came to the home of Cinderella and her stepfamily."
347,08-1,"And her mother had her two ugly stepsisters try on the slipper,."
348,08-1,"but their feet wouldn't even go in the shoe, not at all."
349,08-1,And the prince knew they obviously weren't the lady he was looking for anyway.
350,08-1,"Uh,?"
351,08-1,"so he asked, is there anyone else in the house?"
352,08-1,"Oh, we have a maid upstairs,."
353,08-1,but she didn't go to the party.
354,08-1,and the prince said.
355,08-1,I want to meet her.
356,08-1,I'd.
357,08-1,like her to try on the slipper.
358,08-1,so The stepmom.
359,08-1,"and the step stepsisters couldn't refuse the prince's request,."
360,08-1,so they had Cinderella come down from her attic room.
361,08-1,And the prince was struck with her beauty even.
362,08-1,though she was plainly dressed.
363,08-1,"And the prince had her try on the shoe,."
364,08-1,"and she did,."
365,08-1,and it fit.
366,08-1,And she stood up.
367,08-1,"and The prince said, Aha, you are the lovely lady who was at the ball."
368,08-1,The shoe fits.
369,08-1,"Uh, I recognize you, uh, come back to the palace with me and uh."
370,08-1,They did.
371,08-1,and they got married.
372,08-1,and lived happily ever after.
373,276-1,OK.
374,276-1,"So, Cinderella."
375,276-1,She was living with her father.
376,276-1,"I think her mother must have been deceased,."
377,276-1,and her father remarried uh a woman.
378,276-1,"Uh, the father had a title, in fact,."
379,276-1,and the father remarried a woman who had two daughters.
380,276-1,"Uh, the father became disabled, killed, whatever,."
381,276-1,"and so this woman became her stepmother,."
382,276-1,and then she had these stepsisters.
383,276-1,Cinderella was treated very poorly by the stepmother.
384,276-1,"In fact, she was Uh, made to be a servant to these ugly, and these girls were ugly, uh, stepsisters,."
385,276-1,that she was treated poorly by the stepmother.
386,276-1,"Cinderella was able to, uh, have a glance,."
387,276-1,"and she could see the castle beyond where she was staying,."
388,276-1,and she could dream about what that would be like because her life was pretty sad at that point.
389,276-1,"Uh, in the castle, there was a Young man, he was the prince,."
390,276-1,and his parents wanted him to marry.
391,276-1,"And they decided to throw a big party, a ball, and for the purpose of him to meet someone there in the kingdom."
392,276-1,that he would marry.
393,276-1,"Cinderella, uh, stepsisters and the."
394,276-1,"and the What would you call this lady, the, the stepmother wanted her daughters to go to the ball with no interest in Cinderella going because she was just like a maid to them."
395,276-1,"Cinderella, uh, looks at a chest."
396,276-1,"that had belonged to her mother,."
397,276-1,"and she reads about things about her mother,."
398,276-1,and she wishes.
399,276-1,"that she could go,."
400,276-1,"as the story goes, Uh, her, she has a fairy godmother who comes into her life."
401,276-1,and changes some things that are at the house.
402,276-1,"And she's uh able to get dressed, be in a carriage, to go to the ball, uh have a nice time."
403,276-1,"She meets the prince,."
404,276-1,but the time came came.
405,276-1,"that she had to leave by a certain time, she left, left the shoe, she went back home."
406,276-1,"Uh, the prince goes looking for who this person was he danced with."
407,276-1,that he likes so much.
408,276-1,He takes the shoe with him.
409,276-1,"The shoe doesn't fit all these other women in the in the town,."
410,276-1,"but it, uh, when he gets a second chance."
411,276-1,"and sees Cinderella, the shoe fits her foot uh perfectly."
412,276-1,"He ends up, he marries Cinderella and her stepsisters and her stepmother."
413,276-1,"Uh, it are frowned upon by the royalty,."
414,276-1,and they get some terrible jobs to do.
415,276-1,and get put out.
416,101-1,There was a young girl living with her father.
417,101-1,Her father marries this woman who has two older daughters who are not as pretty as his little girl.
418,101-1,"Sadly, he dies."
419,101-1,And the stepmother is not very nice to this little girl.
420,101-1,"and makes her do all the cleaning in the house, doesn't let her get dressed up, doesn't let her go to parties."
421,101-1,Her sisters are very mean to her.
422,101-1,"One day the prince of the town, village, country, wherever it happens to be."
423,101-1,"that she's in, um, decides to have a ball because it's time."
424,101-1,for him to find a girlfriend or wife.
425,101-1,So they send invitations out throughout the land.
426,101-1,"and an invitation comes to Cinderella's house and her stepsisters are all happy about it and her stepmothers all happy about it,."
427,101-1,"and they say, well of course they can go,."
428,101-1,"but you, Cinderella cannot go."
429,101-1,"Um, so her sisters get dressed, they go off to the party."
430,101-1,"Cinderella is feeling very sad,."
431,101-1,"but she's, she has a lot of friends in the, um, animal world,."
432,101-1,"and they help make her, um."
433,101-1,They don't help her make a dress.
434,101-1,"She somehow is crying or whatever,."
435,101-1,and her fairy godmother comes.
436,101-1,and whips up this gorgeous dress for her.
437,101-1,and the little animals become the footman and the the pages and the people.
438,101-1,that will help her get ready for the ball.
439,101-1,"and we'll take her to the ball coachman, um,."
440,101-1,and the carriage is made out of a pumpkin.
441,101-1,"before she leaves her fairy godmother says you can have all this fun, but you must be back by the stroke of midnight that 's when all the magic goes."
442,101-1,and the mice become mice.
443,101-1,So Cinderella goes to the ball and she's absolutely stunning.
444,101-1,and her stepsisters notice.
445,101-1,"that there's this beautiful girl there,."
446,101-1,but um they don't recognize their shaggy looking little stepsister.
447,101-1,And the prince sees her and of course she's absolutely lovely.
448,101-1,"and the prince goes up and dances with her, but being The prince, he's not too bright,."
449,101-1,and he doesn't get her name and her address.
450,101-1,"So all of a sudden, the clock strikes 12."
451,101-1,Cinderella realizes.
452,101-1,that she's got to get home.
453,101-1,before everything changes back.
454,101-1,"She goes running down the steps of the castle,."
455,101-1,"as she's running, she loses one of her beautiful glass slippers, which."
456,101-1,"for some reason doesn't change back, even."
457,101-1,though all the rest of her clothes do.
458,101-1,"She get back, gets back to her place, her, her stepsisters come back."
459,101-1,They had a great time.
460,101-1,"Um, the next day the prince's footman, um,."
461,101-1,"and the prince go door to door to see who fits this tiny little glass slipper,."
462,101-1,and her sisters all tried on.
463,101-1,and of course they have big old feet.
464,101-1,and they don't fit.
465,101-1,"And um Cinderella says, well, wait, let me try it on,."
466,101-1,and she comes down.
467,101-1,"and it fits perfectly,."
468,101-1,and her sisters are all pissed off.
469,101-1,"and her stepmothers all pissed off, um, but the prince, although he's dumb, he's very sweet,."
470,101-1,"and he says, oh, this is perfect, the shoe fits, you're pretty, let's get married."
471,101-1,and we will live happily ever after.
472,101-1,that is the Disney version.
473,233-1,apparently married a second wife.
474,233-1,and who had 3 daughters.
475,233-1,that she doted on.
476,233-1,And Cinderella was left to do all the chores.
477,233-1,while the dollars were living in luxury.
478,233-1,But then there was an announcement from the palace.
479,233-1,"that there was going to be a ball, and the sisters are so excited."
480,233-1,about getting new gowns.
481,233-1,and getting all dressed up to go to the ball.
482,233-1,But they won't let Cinderella go.
483,233-1,because she doesn't have the clothes to wear.
484,233-1,So the the stepsisters get all dressed.
485,233-1,and they go off to the ball leaving Cinderella at home.
486,233-1,"And ,."
487,233-1,"but , Cinderella's fairy godmother comes with her little mice."
488,233-1,And gets her all dressed up in a nice ball gown.
489,233-1,A special carriage.
490,233-1,"And the horsemen are the horses, I think the mice become the horsemen horses in this."
491,233-1,"But anyway, so she goes off to the ball."
492,233-1,"In her beautiful white dress, she dances with the prince."
493,233-1,"He falls madly in love with her,."
494,233-1,"but she has to be out of there by midnight, so on the way down the steps leaving, she loses her glass slipper."
495,233-1,And the prince takes the glass slipper.
496,233-1,and tries it to fit it on the women in the town where they live in his kingdom.
497,233-1,"And all those women, they want him to, you know, find them."
498,233-1,and marry them.
499,233-1,and make them a princess.
500,233-1,Then he comes to Cinderella and the last you.
501,39-1,"Well, this is the Walt Disney Cinderella story."
502,39-1,"um,."
503,39-1,so all the characters are based on the story.
504,39-1,that Walt Disney has created.
505,39-1,Cinderella was a girl living with her father in a nice mansion.
506,39-1,"Um, her father, I don't know what happened to her mother, but it was just her father who married another woman who became her stepmother, who had two daughters who became Cinderella's stepsisters."
507,39-1,"Well, the father passed away,."
508,39-1,and the stepmother took over rule of the castle and everything else.
509,39-1,that they lived in.
510,39-1,"because her the stepmother valued the her own daughters over Cinderella, Cinderella became more or less a slave to the stepmother and the stepsister's wishes, which is why her name became Cinderella,."
511,39-1,because she toiled.
512,39-1,"and stayed in the kitchen near the cinders, which got all over her clothes most of the time when she was working."
513,39-1,"One day, the prince, um, was in the castle,."
514,39-1,"and his father, the king, decided it was time for the prince to marry."
515,39-1,So the only way he could find a suitable wife.
516,39-1,for Cinderella was decided to throw a big ball.
517,39-1,and invite every young maiden in the whole area to come.
518,39-1,"and meet the prince,."
519,39-1,and the prince would select a suitable prospective wife.
520,39-1,So they sent out letters far and wide for every young maiden.
521,39-1,The stepmother was thrilled with this.
522,39-1,because she was sending her own two daughters.
523,39-1,and was dressing them in the finest dresses she could find.
524,39-1,"for them, sparing no expense."
525,39-1,"Cinderella, however, begged to go to the ball,."
526,39-1,but the stepmother said no.
527,39-1,"because Cinderella did not have a dress,."
528,39-1,and she would not provide a dress for Cinderella.
529,39-1,"So , Cinderella went into an old trunk."
530,39-1,and found a very pretty pink dress.
531,39-1,"that was owned by her mother,."
532,39-1,but it didn't fit quite right.
533,39-1,"So Cinderella started to alter the dress with the help of two of the Couple of the mice from the kitchen, um, Zach,."
534,39-1,"and I'm trying to remember the other names,."
535,39-1,"cause I thought I knew them, were helping her to do the dress,."
536,39-1,"and they were singing, Let's make a dress for Cinderella."
537,39-1,so the dress looked beautiful.
538,39-1,"However, when it came time to go to the ball, the stepsisters came down."
539,39-1,and were dressed very beautifully.
540,39-1,And Cinderella came down in her dress.
541,39-1,"Well, the stepmother was enraged that Cinderella was able to find a dress."
542,39-1,So between the stepmother.
543,39-1,"and the stepsisters, they destroyed the dress."
544,39-1,and poor Cinderella could not go to the ball.
545,39-1,"So ,."
546,39-1,as she sat crying.
547,39-1,"because she couldn't go to the ball, lo."
548,39-1,"and behold, a wonderful woman appeared, known as her fairy godmother,."
549,39-1,"and said, Not to worry, we will get you to the ball."
550,39-1,"And Bippity boppity boo,."
551,39-1,"if you want, I'll sing the whole song,."
552,39-1,but I won't do that right now.
553,39-1,"Um,."
554,39-1,"so she provided a very beautiful dress for Cinderella, Blue, um, with sparkles, um."
555,39-1,And had Cinderella's hair all done up.
556,39-1,"Well,?"
557,39-1,"but Cinderella could go to the ball dressed like this with beautiful glass slippers,?"
558,39-1,but how could she get there?
559,39-1,"So , the fairy godmother turned the mice into horse horses to draw a carriage."
560,39-1,"To make a carriage, she, um, used a pumpkin, and the, um, footman for the carriage was the dog."
561,39-1,"So , Cinderella goes off to the ball,."
562,39-1,"but the fairy godmother said, but you must be home by the stroke of midnight,."
563,39-1,because all of this will disappear.
564,39-1,"Well, when Cinderella shows up at the ball."
565,39-1,All heads turn her way.
566,39-1,"because she is not only the most beautifully dressed, but she is the most beautiful girl at the ball."
567,39-1,While the stepmother.
568,39-1,"Keeps looking at things, she looks familiar, she looks familiar,."
569,39-1,but she couldn't decide.
570,39-1,"Well, the prince walked past every one of all the other girls."
571,39-1,and danced only with Cinderella that night.
572,39-1,Cinderella was having a very good time.
573,39-1,"However, the clock started to strike midnight,."
574,39-1,and Cinder Cinderella realized.
575,39-1,"that she had to be home,."
576,39-1,"so she ran out very quickly,."
577,39-1,"and running down the steps, she lost one of her glass slippers."
578,39-1,and just about got home.
579,39-1,"Well, the poor prince was so upset."
580,39-1,that he did not know who this girl was.
581,39-1,"or could not find her, did not have a name, that the next day, the prince."
582,39-1,and his entourage went out to the countryside.
583,39-1,and took the one glass slipper.
584,39-1,and tried to fit it on every young maiden in the area.
585,39-1,"So , knowing."
586,39-1,"that this was coming to happen, the stepmother decided to lock Cinderella into the castle, into the house,."
587,39-1,so she could not meet the prince.
588,39-1,"Well, just."
589,39-1,as the prince was trying on the slipper.
590,39-1,"for the two stepsisters, one, both of whom had very large feet, and not the tiny foot."
591,39-1,"that would fit into this glass slipper, Cinderella and the mice were able to free her from the area where she was locked."
592,39-1,"And went downstairs, just?"
593,39-1,"as Cinderella came running out, when the prince said, Aren't there any other young maidens in your house?"
594,39-1,"And the stepmother said, No."
595,39-1,Cinderella came running out.
596,39-1,"and said, Yes, I'm here, I'm here."
597,39-1,"Well, just."
598,39-1,"as she was running, the stepmother tripped her."
599,39-1,And the slipper was the slipper.
600,39-1,that the prince was holding to walk to her was broken.
601,39-1,"Brokenhearted, the prince said, Well, I'll never know who the girl is."
602,39-1,"And Cinderella said, Well, that 's all right,."
603,39-1,because I have the other slipper here.
604,39-1,So he tried the slipper onto Cinderella.
605,39-1,"It fit beautifully,."
606,39-1,"and just then, of course, the fairy godmother came by, changed Cinderella into a beautiful princess again,."
607,39-1,and off she went with the prince to be married.
608,39-1,and live happily ever after.
609,39-1,"The stepmother and the stepsisters, however, were not so happy about this, neither was Cinderella."
610,39-1,"So Cinderella made them become servants into the prince's castle, that 's the end of the story."
611,39-1,Cinderella was happy with the prince.
612,39-1,"They lived happily ever after, and the stepmother."
613,39-1,and stepsister got what they deserved.
614,04-1,"Her name, uh, I'm not even sure her name was Cinderella,."
615,04-1,"but there was a young girl, maybe her name was even Ella,."
616,04-1,and later on she gets called Cinderella.
617,04-1,"Um, anyway, she ends up having a stepmother come on the scene who has two daughters, and she's very nice to her two daughters, but she's mean to Cinderella."
618,04-1,"Uh, the two daughters, uh, are, are pampered."
619,04-1,and treated very well.
620,04-1,"Cinderella has to do a lot of the housework and the grunt work and ,."
